Date,Name,Amount,,,,
1/12/2022,DING TEA  ,$14.51,DING,TEA,,
1/12/2022,TACO BELL  ,$14.03,TACO,BELL,,
1/18/2022,CLUTCH PREP  ,$39.99,CLUTCH,PREP,,
1/18/2022,TROPICAL SMOOTHIE CAFE ,$6.48,TROPICAL,SMOOTHIE,CAFE,
1/19/2022,BOBA   ,$5.20,BOBA,,,
1/21/2022,KROGER   ,$8.07,KROGER,,,
1/22/2022,BUC-EE'S   ,$5.40,BUC-EE'S,,,
1/23/2022,7-ELEVEN   ,$3.89,7-ELEVEN,,,
1/25/2022,TST* RAMEN TATSU-YA ,$16.24,TST*,RAMEN,TATSU-YA,
1/28/2022,CHIPOTLE   ,$8.23,CHIPOTLE,,,
1/28/2022,SHAKE SMART  ,$3.77,SHAKE,SMART,,
1/29/2022,TARGET   ,$9.94,TARGET,,,
1/31/2022,TARGET   ,$7.34,TARGET,,,
2/1/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
2/1/2022,CHIPOTLE   ,$10.72,CHIPOTLE,,,
2/2/2022,SHAKE SMART  ,$14.83,SHAKE,SMART,,
2/5/2022,BASIL THAI  ,$15.00,BASIL,THAI,,
2/5/2022,TEAPIOCA LOUNGE  ,$6.06,TEAPIOCA,LOUNGE,,
2/7/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
2/12/2022,SQ *DOLLAR SLICE CLUB,$9.20,SQ,*DOLLAR,SLICE,CLUB
2/13/2022,UT WEB TXSHOP ,$25.00,UT,WEB,TXSHOP,
2/14/2022,SHAKE SMART  ,$7.25,SHAKE,SMART,,
2/16/2022,SQ *O'S CAMPUS CAFE,$3.79,SQ,*O'S,CAMPUS,CAFE
2/16/2022,TST* THE PIZZA PRESS,$10.77,TST*,THE,PIZZA,PRESS
2/17/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
2/17/2022,FIV*GONG CHA DOBIE ,$6.50,FIV*GONG,CHA,DOBIE,
2/23/2022,AUSTIN AIRPORT-F&B  ,$7.81,AUSTIN,AIRPORT-F&B,,
2/24/2022,C1 FOOD HALL ,$16.79,C1,FOOD,HALL,
2/28/2022,RACE ROSTER  ,$44.10,RACE,ROSTER,,
3/7/2022,NUTS ON CLARK OHARE,$8.32,NUTS,ON,CLARK,OHARE
3/9/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
3/9/2022,USPS PO  ,$0.49,USPS,PO,,
3/9/2022,USPS PO  ,$0.88,USPS,PO,,
3/11/2022,FIV*GONG CHA DOBIE ,$4.75,FIV*GONG,CHA,DOBIE,
3/11/2022,FIV*GONG CHA DOBIE ,$5.25,FIV*GONG,CHA,DOBIE,
3/12/2022,SHAKE SMART  ,$3.50,SHAKE,SMART,,
3/13/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
3/13/2022,BUC-EE'S   ,$3.12,BUC-EE'S,,,
3/13/2022,TACO BELL  ,$11.89,TACO,BELL,,
3/14/2022,SHELL57546308909 SUGAR  ,$40.21,SHELL57546308909,SUGAR,,
3/14/2022,TEA HOUSE EXPRESS ,$4.49,TEA,HOUSE,EXPRESS,
3/19/2022,AMC   ,$73.58,AMC,,,
3/19/2022,SOJU   ,$22.94,SOJU,,,
3/21/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
3/22/2022,SHAKE SMART  ,$5.90,SHAKE,SMART,,
3/27/2022,SHAKE SMART  ,$6.98,SHAKE,SMART,,
4/6/2022,FIV*GONG CHA DOBIE ,$4.75,FIV*GONG,CHA,DOBIE,
4/8/2022,CHIPOTLE   ,$11.00,CHIPOTLE,,,
4/10/2022,TARGET   ,$11.56,TARGET,,,
4/14/2022,7-ELEVEN   ,$4.89,7-ELEVEN,,,
4/14/2022,SNACK* MOGE TEE ,$5.95,SNACK*,MOGE,TEE,
4/19/2022,UT H&F FOOD SERVICE,$2.91,UT,H&F,FOOD,SERVICE
4/24/2022,SQ *COLD COOKIE COMPAN,$1.00,SQ,*COLD,COOKIE,COMPAN
4/24/2022,CAVA   ,$11.39,CAVA,,,
4/26/2022,SNACK* MOGE TEE ,$16.24,SNACK*,MOGE,TEE,
4/27/2022,AMZN MKTP  ,$28.11,AMZN,MKTP,,
5/4/2022,SHAKE SMART  ,$6.17,SHAKE,SMART,,
5/5/2022,DOMINO'S   ,$11.08,DOMINO'S,,,
5/5/2022,LEVELUPSWEETGREEN9027   ,$15.10,LEVELUPSWEETGREEN9027,,,
5/5/2022,SHAKE SMART  ,$6.44,SHAKE,SMART,,
5/6/2022,7-ELEVEN   ,$11.45,7-ELEVEN,,,
5/6/2022,LYFT   ,$2.60,LYFT,,,
5/6/2022,LYFT   ,$17.31,LYFT,,,
5/8/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
5/8/2022,CHIPOTLE   ,$10.99,CHIPOTLE,,,
5/11/2022,TORCHYS NORTHSHORE  ,$14.61,TORCHYS,NORTHSHORE,,
5/12/2022,POKE BOWL  ,$15.16,POKE,BOWL,,
5/13/2022,SQ *COLD COOKIE COMPAN,$1.00,SQ,*COLD,COOKIE,COMPAN
5/13/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
5/13/2022,THE HALAL CORNER ,$10.81,THE,HALAL,CORNER,
5/15/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
5/16/2022,HTEAO   ,$0.60,HTEAO,,,
5/16/2022,KROGER   ,$10.37,KROGER,,,
5/17/2022,SPICE BAZAAR  ,$24.97,SPICE,BAZAAR,,
5/17/2022,SHELL57546308909 SUGAR  ,$34.23,SHELL57546308909,SUGAR,,
5/19/2022,BUC-EE'S   ,$4.19,BUC-EE'S,,,
5/19/2022,BUC-EE'S   ,$7.44,BUC-EE'S,,,
5/19/2022,BURGER KING  ,$11.23,BURGER,KING,,
5/20/2022,SHELL57543427603   ,$52.16,SHELL57543427603,,,
5/22/2022,KROGER   ,$11.77,KROGER,,,
5/25/2022,TACO BELL  ,$55.61,TACO,BELL,,
5/27/2022,BURGER KING  ,$2.15,BURGER,KING,,
5/29/2022,HITCH   ,$49.00,HITCH,,,
6/5/2022,KROGER   ,$13.75,KROGER,,,
6/7/2022,BUC-EE'S   ,$2.13,BUC-EE'S,,,
6/7/2022,MCDONALD'S F11177  ,$4.74,MCDONALD'S,F11177,,
6/7/2022,SHAKE SMART  ,$6.44,SHAKE,SMART,,
6/7/2022,SHELL54205600023   ,$58.90,SHELL54205600023,,,
6/8/2022,GROUPON INC  ,$12.75,GROUPON,INC,,
6/8/2022,KROGER   ,$53.02,KROGER,,,
6/11/2022,SHELL57543427603   ,$53.00,SHELL57543427603,,,
6/14/2022,BUC-EE'S   ,$50.01,BUC-EE'S,,,
6/14/2022,MCDONALD'S F11177  ,$4.74,MCDONALD'S,F11177,,
6/14/2022,SHAKE SMART  ,$6.98,SHAKE,SMART,,
6/17/2022,KIMS TEA HOUSE TAPIOCA,$6.06,KIMS,TEA,HOUSE,TAPIOCA
6/22/2022,TACO BELL  ,$4.33,TACO,BELL,,
6/24/2022,CHICK-FIL-A   ,$4.54,CHICK-FIL-A,,,
6/24/2022,SHELL57543433304 SUGAR  ,$30.00,SHELL57543433304,SUGAR,,
6/25/2022,DESI BROTHERS-  ,$40.57,DESI,BROTHERS-,,
6/26/2022,HITCH   ,$17.00,HITCH,,,
6/28/2022,SHELL57543427603   ,$59.00,SHELL57543427603,,,
7/1/2022,TACO BELL  ,$9.00,TACO,BELL,,
7/3/2022,MOMENTUM INDOOR CLIMBI ,$23.82,MOMENTUM,INDOOR,CLIMBI,
7/4/2022,BACK MARKET  ,$158.59,BACK,MARKET,,
7/4/2022,HOBBY LOBBY  ,$21.61,HOBBY,LOBBY,,
7/5/2022,AUSTIN BOULDERING PROJ ,$19.49,AUSTIN,BOULDERING,PROJ,
7/5/2022,SMOOTHIE KING  ,$9.52,SMOOTHIE,KING,,
7/6/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
7/6/2022,LYFT   ,$16.99,LYFT,,,
7/9/2022,FITNESS CONNECT  ,$10.83,FITNESS,CONNECT,,
7/9/2022,BALOCH GRILL  ,$22.70,BALOCH,GRILL,,
7/9/2022,LYFT   ,$22.99,LYFT,,,
7/11/2022,TACO BELL  ,$8.85,TACO,BELL,,
7/18/2022,TACO BELL  ,$8.65,TACO,BELL,,
7/20/2022,PAYPAL *NAMANDESAI03  ,$103.20,PAYPAL,*NAMANDESAI03,,
7/22/2022,TAIPEI TAIPEI TEA HOUSE,$6.74,TAIPEI,TAIPEI,TEA,HOUSE
7/24/2022,CALVIN KLEIN  ,$32.53,CALVIN,KLEIN,,
7/24/2022,OLD NAVY US ,$34.23,OLD,NAVY,US,
7/24/2022,PACSUN   ,$53.49,PACSUN,,,
7/25/2022,LEVIS OUTLET  ,$26.49,LEVIS,OUTLET,,
7/25/2022,NIKE DESTIN  ,$81.56,NIKE,DESTIN,,
7/29/2022,PAYPAL *GROUPON INC ,$17.50,PAYPAL,*GROUPON,INC,
7/31/2022,THE TEAHOUSE  ,$10.28,THE,TEAHOUSE,,
8/1/2022,FIT CON  ,$10.83,FIT,CON,,
8/5/2022,KROGER   ,$3.49,KROGER,,,
8/5/2022,SHELL57543427603   ,$50.00,SHELL57543427603,,,
8/9/2022,PAYPAL *ROSEGOLDBLA  ,$32.03,PAYPAL,*ROSEGOLDBLA,,
8/10/2022,FIV*GONG CHA  ,$6.22,FIV*GONG,CHA,,
8/11/2022,PIADA   ,$11.34,PIADA,,,
8/12/2022,SHELL57543427306   ,$34.00,SHELL57543427306,,,
8/12/2022,TORTUGAS   ,$16.94,TORTUGAS,,,
8/13/2022,PAYPAL *BJS RSTRNTS ,$16.10,PAYPAL,*BJS,RSTRNTS,
8/13/2022,SHELL57543427603   ,$25.00,SHELL57543427603,,,
8/15/2022,SPICE BAZAAR  ,$7.98,SPICE,BAZAAR,,
8/15/2022,FIT CON  ,$53.04,FIT,CON,,
8/15/2022,EINSTEIN BROS  ,$18.39,EINSTEIN,BROS,,
8/15/2022,KROGER   ,$7.08,KROGER,,,
8/16/2022,RAKI   ,$12.00,RAKI,,,
8/17/2022,WALGREENS   ,$0.21,WALGREENS,,,
8/18/2022,TIGER DEN  ,$34.72,TIGER,DEN,,
8/18/2022,TEATOPTX   ,$6.06,TEATOPTX,,,
8/18/2022,WALGREENS   ,$11.32,WALGREENS,,,
8/20/2022,DOMINOS   ,$9.73,DOMINOS,,,
8/20/2022,DOMINOS   ,$10.81,DOMINOS,,,
8/20/2022,TORCHYS   ,$9.09,TORCHYS,,,
8/21/2022,H-E-B   ,$127.44,H-E-B,,,
8/21/2022,TORCHYS   ,$18.10,TORCHYS,,,
8/23/2022,ZYBOOK COLLEGE TXTBOOK ,$83.35,ZYBOOK,COLLEGE,TXTBOOK,
8/26/2022,TST* THE PIZZA PRESS,$12.88,TST*,THE,PIZZA,PRESS
8/26/2022,WASH KIOSK  ,$10.00,WASH,KIOSK,,
9/2/2022,FIT CON  ,$10.83,FIT,CON,,
9/2/2022,PAYPAL *SHEIN  ,$7.80,PAYPAL,*SHEIN,,
9/3/2022,TST* BIRD  ,$10.28,TST*,BIRD,,
9/7/2022,FIV*GONG CHA DOBIE ,$10.00,FIV*GONG,CHA,DOBIE,
9/8/2022,WASH KIOSK  ,$10.00,WASH,KIOSK,,
9/9/2022,SQ *SHAKE SMART UNIVER,$6.77,SQ,*SHAKE,SMART,UNIVER
9/14/2022,CHIPOTLE   ,$8.61,CHIPOTLE,,,
9/18/2022,SQ *BENNU COFFEE ,$6.77,SQ,*BENNU,COFFEE,
9/19/2022,TST* JUICELAND  ,$12.39,TST*,JUICELAND,,
9/21/2022,"SQ *SHAKE SMART, INC.",$1.62,SQ,*SHAKE,"SMART,",INC.
9/21/2022,"SQ *SHAKE SMART, INC.",$6.77,SQ,*SHAKE,"SMART,",INC.
9/23/2022,EINSTEIN BROS  ,$4.09,EINSTEIN,BROS,,
9/24/2022,H-E-B   ,$3.28,H-E-B,,,
9/25/2022,SHELL57543427603   ,$21.33,SHELL57543427603,,,
9/27/2022,TST* COOKBOOK  ,$10.82,TST*,COOKBOOK,,
9/28/2022,CHIPOTLE   ,$8.61,CHIPOTLE,,,
9/29/2022,SQ *PATRIZI'S  ,$15.07,SQ,*PATRIZI'S,,
9/29/2022,STARBUCKS STORE  ,$5.68,STARBUCKS,STORE,,
10/1/2022,LYFT   ,$2.00,LYFT,,,
10/1/2022,LYFT   ,$16.80,LYFT,,,
10/1/2022,SQ *AUSTIN- HOUNDSTOOT ,$5.79,SQ,*AUSTIN-,HOUNDSTOOT,
10/2/2022,SPOTIFY   ,$17.31,SPOTIFY,,,
10/5/2022,CHIPOTLE   ,$8.61,CHIPOTLE,,,
10/7/2022,WASH KIOSK  ,$15.00,WASH,KIOSK,,
10/9/2022,H-E-B   ,$44.65,H-E-B,,,
10/11/2022,TST* CABO  ,$8.39,TST*,CABO,,
10/12/2022,CHIPOTLE   ,$8.82,CHIPOTLE,,,
10/13/2022,UT RECSPORTS ECOMMERCE ,$75.00,UT,RECSPORTS,ECOMMERCE,
10/14/2022,SQ *SHAKE SMART UNIVER,$8.12,SQ,*SHAKE,SMART,UNIVER
10/14/2022,SP NOGSUPPLY  ,$50.98,SP,NOGSUPPLY,,
10/14/2022,TST* TACO JOINT ,$11.37,TST*,TACO,JOINT,
10/16/2022,PAYPAL *SKILLSHARE  ,$131.00,PAYPAL,*SKILLSHARE,,
10/16/2022,SQ *ATX GYRO ,$12.98,SQ,*ATX,GYRO,
10/16/2022,TST* SA-TEN COFFEE ,$5.41,TST*,SA-TEN,COFFEE,
10/17/2022,H-E-B   ,$5.18,H-E-B,,,
10/17/2022,H-E-B   ,$22.00,H-E-B,,,
10/18/2022,TST* CABO  ,$8.39,TST*,CABO,,
10/20/2022,"SQ *SHAKE SMART, INC.",$7.31,SQ,*SHAKE,"SMART,",INC.
10/20/2022,SQ *ATX GYRO ,$12.98,SQ,*ATX,GYRO,
10/23/2022,AMZN MKTP  ,$13.61,AMZN,MKTP,,
10/23/2022,BUC-EE'S   ,$7.55,BUC-EE'S,,,
10/23/2022,BUC-EE'S   ,$17.81,BUC-EE'S,,,
10/23/2022,WINGSTOP   ,$14.71,WINGSTOP,,,
10/25/2022,GLORIAS RESTAURANT  ,$20.00,GLORIAS,RESTAURANT,,
10/26/2022,UT H&F FOOD SERVICE,$4.93,UT,H&F,FOOD,SERVICE
10/28/2022,UT H&F FOOD SERVICE,$3.52,UT,H&F,FOOD,SERVICE
10/28/2022,GWCTX   ,$33.95,GWCTX,,,
10/29/2022,H-E-B   ,$19.46,H-E-B,,,
10/29/2022,TST* SA-TEN COFFEE ,$16.24,TST*,SA-TEN,COFFEE,
10/30/2022,SQ *DOLLAR SLICE CLUB,$7.58,SQ,*DOLLAR,SLICE,CLUB
10/30/2022,SQ *BENNU COFFEE ,$5.95,SQ,*BENNU,COFFEE,
11/2/2022,SPOTIFY   ,$17.31,SPOTIFY,,,
11/3/2022,TST* COOKBOOK  ,$16.23,TST*,COOKBOOK,,
11/6/2022,WASH KIOSK  ,$10.00,WASH,KIOSK,,
11/11/2022,SNACK* MOGE TEE ,$7.56,SNACK*,MOGE,TEE,
11/12/2022,H-E-B   ,$42.25,H-E-B,,,
11/12/2022,TST* TYSONS TACOS ,$10.40,TST*,TYSONS,TACOS,
11/14/2022,"SQ *SHAKE SMART, INC.",$8.12,SQ,*SHAKE,"SMART,",INC.
11/15/2022,PAYPAL *REGIMEN INC ,$7.96,PAYPAL,*REGIMEN,INC,
11/19/2022,HITCH   ,$51.00,HITCH,,,
11/19/2022,STARBUCKS STORE  ,$4.82,STARBUCKS,STORE,,
11/25/2022,RUE21   ,$82.42,RUE21,,,
11/30/2022,SQ *MEDICI ROASTING SH,$5.33,SQ,*MEDICI,ROASTING,SH
11/30/2022,CHIPOTLE   ,$11.64,CHIPOTLE,,,
12/2/2022,FIT CON  ,$10.83,FIT,CON,,
12/2/2022,SPOTIFY   ,$17.31,SPOTIFY,,,
12/3/2022,TORCHYS NORTHSHORE  ,$15.75,TORCHYS,NORTHSHORE,,
12/4/2022,TST* COOKBOOK  ,$4.33,TST*,COOKBOOK,,
12/6/2022,H-E-B   ,$28.40,H-E-B,,,
12/7/2022,TST* PATIKA  ,$13.47,TST*,PATIKA,,
12/8/2022,TARGET   ,$10.81,TARGET,,,
12/9/2022,TARGET   ,$15.58,TARGET,,,
12/11/2022,TORCHYS   ,$15.75,TORCHYS,,,
12/13/2022,TACO BELL  ,$33.27,TACO,BELL,,
12/13/2022,WASH KIOSK  ,$10.00,WASH,KIOSK,,
12/14/2022,HAPPY LEMON  ,$7.74,HAPPY,LEMON,,
12/15/2022,MACYS   ,$121.24,MACYS,,,
12/16/2022,SQ *TOUT SUITE ,$3.25,SQ,*TOUT,SUITE,
